stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
89,3000087,Tantallon Dr+Asbury Dr,,38.716328,-77.000114,,
90,3000088,Tantallon Dr+Buckmaster Ln,,38.716389,-76.997025,,
91,3000089,Tantallon Dr+Asbury Dr,,38.716389,-77.000595,,
92,3000090,E Tantallon Dr+Buckmaster Ln,,38.716393,-76.996758,,
93,3000091,Ft Washington Rd+Tantallon Dr,,38.718185,-77.005394,,
94,3000092,Ft Washington Rd+Tantallon Dr,,38.718258,-77.005501,,
97,3000095,Gable Ln+E Tantallon Dr,,38.718731,-76.993973,,
98,3000096,Gable Ln+E Tantallon Dr,,38.718819,-76.993965,,
103,3000101,Ft Washington Rd+Rexburg Av,,38.722321,-77.004227,,
104,3000102,Ft Washington Rd+Rexburg Av,,38.72258,-77.004364,,
107,3000105,Ft Washington Rd+Swan Creek Rd E,,38.724369,-77.004715,,
108,3000106,Ft Washington Rd+Swan Creek Rd E,,38.724426,-77.004883,,
114,3000109,Ft Washington Rd+Lourdes Dr,,38.729149,-77.004768,,
115,3000110,Ft Washington Rd+Autumnwood Ln,,38.729584,-77.004776,,
121,3000116,Ft Washington Rd+Beech St,,38.733635,-77.004257,,
126,3000119,Ft Washington Rd+Kimberly Woods Ln,,38.736019,-77.003426,,
127,3000120,Ft Washington Rd+Kimberly Woods Ln,,38.736286,-77.003418,,
130,3000123,Ft Washington Rd+#11310,,38.740067,-77.001038,,
133,3000126,Ft Washington Rd+#11310,,38.740231,-77.000931,,
134,3000127,Livingston Rd+Ft Washington Rd,,38.742764,-76.999046,,
135,3000128,Livingston Rd+Ft Washington Rd,,38.742821,-76.999191,,
155,5000008,Huntsman Bl+Fairfax County Pkwy,,38.75222,-77.266457,,
156,5000009,Huntsman Bl+Fairfax County Pkwy,,38.752232,-77.266632,,
164,5000013,Huntsman Bl+Dorothy Ln,,38.754303,-77.265099,,
165,5000014,Huntsman Bl+Dorothy Ln,,38.754421,-77.265144,,
183,5000027,Huntsman Bl+Golden Ball Tavern Ct,,38.757813,-77.262939,,
184,5000028,Huntsman Bl+Golden Ball Tavern Ct,,38.75787,-77.263062,,
186,3000150,Oxon Hill Rd+Livingston Rd,,38.757881,-76.997437,,
187,3000151,Oxon Hill Rd+Livingston Rd,,38.757969,-76.997383,,
194,3000152,Ft Foote Rd+Wedgewood Dr,,38.758499,-77.018654,,
196,3000153,Ft Foote Rd+Loughran Rd,,38.758698,-77.019791,,
198,3000154,Ft Foote Rd+Sandy Bar Dr,,38.758907,-77.023354,,
200,3000155,Ft Foote Rd+Ivanhoe Rd,,38.759026,-77.023491,,
204,3000158,Ft Foote Rd+Indian Queen ES,,38.759312,-77.015991,,
208,5000043,Huntsman Bl+Rockefeller Ln,,38.759506,-77.262177,,
210,3000159,Ft Foote Rd+Round Table Dr,,38.75967,-77.015305,,
216,3000162,Ft Foote Rd+Lark Ln,,38.760696,-77.024254,,
